Comparison,p-value,Adj. p-value,Effect Size (rank-biserial)
swap-asymmetric-lognormal vs inplace-asymmetric-lognormal,0.3486027587777901,1.0,0.010743065385283912
swap-asymmetric-lognormal vs swap-euclidean-lognormal,1.8746897233017847e-72,1.237295217379178e-70,0.5573836682766948
swap-asymmetric-lognormal vs inplace-euclidean-lognormal,2.3654528575511863e-91,1.561198885983783e-89,0.5432888892389113
swap-asymmetric-lognormal vs scramble-euclidean-lognormal,0.20913773958848625,1.0,0.0849307977332171
swap-asymmetric-lognormal vs inplace-euclidean-uniform,1.7202465321103568e-192,1.1353627111928355e-190,0.5013583951772387
swap-asymmetric-lognormal vs swap-euclidean-uniform,1.5542951914790213e-270,1.0258348263761541e-268,0.5839262975988357
swap-asymmetric-lognormal vs scramble-euclidean-uniform,2.5519820962220895e-13,1.684308183506579e-11,0.27593594282717016
swap-asymmetric-lognormal vs scramble-asymmetric-lognormal,2.5071215264019436e-63,1.6547002074252828e-61,-0.543758894686907
swap-asymmetric-lognormal vs scramble-asymmetric-uniform,3.3886857145261444e-48,2.2365325715872554e-46,-0.5007768817204301
swap-asymmetric-lognormal vs inplace-asymmetric-uniform,6.479692490109241e-29,4.276597043472099e-27,-0.1566558176357491
swap-asymmetric-lognormal vs swap-asymmetric-uniform,5.147110815739391e-07,3.397093138387998e-05,-0.06943962567679507
inplace-asymmetric-lognormal vs swap-euclidean-lognormal,6.78068093631577e-72,4.475249417968408e-70,0.5542879549468328
inplace-asymmetric-lognormal vs inplace-euclidean-lognormal,2.025136440809123e-90,1.3365900509340212e-88,0.5392974313173595
inplace-asymmetric-lognormal vs scramble-euclidean-lognormal,0.22591111175510092,1.0,0.08186130703451722
inplace-asymmetric-lognormal vs inplace-euclidean-uniform,2.4235895060085617e-185,1.5995690739656507e-183,0.48923250124455553
inplace-asymmetric-lognormal vs swap-euclidean-uniform,2.93059611783365e-269,1.934193437770209e-267,0.5793061126642627
inplace-asymmetric-lognormal vs scramble-euclidean-uniform,5.120370024935195e-13,3.3794442164572287e-11,0.27209407486684567
inplace-asymmetric-lognormal vs scramble-asymmetric-lognormal,5.249804271050459e-65,3.464870818893303e-63,-0.5503271747498075
inplace-asymmetric-lognormal vs scramble-asymmetric-uniform,1.6018598467838499e-50,1.057227498877341e-48,-0.5125006415191173
inplace-asymmetric-lognormal vs inplace-asymmetric-uniform,2.1436345943798786e-33,1.4147988322907199e-31,-0.16773525708097647
inplace-asymmetric-lognormal vs swap-asymmetric-uniform,4.49131858659289e-09,2.9642702671513073e-07,-0.08046605086561387
swap-euclidean-lognormal vs inplace-euclidean-lognormal,0.1971188478600273,1.0,-0.05068724933155089
swap-euclidean-lognormal vs scramble-euclidean-lognormal,1.151440702983489e-06,7.599508639691028e-05,-0.35771065182829886
swap-euclidean-lognormal vs inplace-euclidean-uniform,0.0002609090850624037,0.017219999614118645,-0.1217379502888829
swap-euclidean-lognormal vs swap-euclidean-uniform,0.5962059456543607,1.0,-0.017580716497125115
swap-euclidean-lognormal vs scramble-euclidean-uniform,4.6438427695471994e-08,3.0649362279011515e-06,-0.2592061214729795
swap-euclidean-lognormal vs scramble-asymmetric-lognormal,5.084402649689329e-87,3.3557057487949567e-85,-0.856039635105379
swap-euclidean-lognormal vs scramble-asymmetric-uniform,3.1521760441852724e-79,2.0804361891622797e-77,-0.8439661319073084
swap-euclidean-lognormal vs inplace-asymmetric-uniform,2.139476927868748e-99,1.4120547723933737e-97,-0.6763466373906577
swap-euclidean-lognormal vs swap-asymmetric-uniform,8.703551627604347e-83,5.744344074218869e-81,-0.61428267216485
inplace-euclidean-lognormal vs scramble-euclidean-lognormal,3.893127746961005e-06,0.0002569464312994263,-0.3318201013513513
inplace-euclidean-lognormal vs inplace-euclidean-uniform,0.011531685127381461,0.7610912184071764,-0.0745637977916942
inplace-euclidean-lognormal vs swap-euclidean-uniform,0.12448331593857853,1.0,0.045060160166040086
inplace-euclidean-lognormal vs scramble-euclidean-uniform,1.8907810309624003e-06,0.0001247915480435184,-0.21355754573170738
inplace-euclidean-lognormal vs scramble-asymmetric-lognormal,2.6115334717933743e-100,1.723612091383627e-98,-0.8592601102941178
inplace-euclidean-lognormal vs scramble-asymmetric-uniform,1.1934528467456022e-90,7.876788788520974e-89,-0.8480729166666667
inplace-euclidean-lognormal vs inplace-asymmetric-uniform,3.742034713316259e-129,2.4697429107887312e-127,-0.6757675545383717
inplace-euclidean-lognormal vs swap-asymmetric-uniform,7.801714252866353e-105,5.149131406891793e-103,-0.6054716575176777
scramble-euclidean-lognormal vs inplace-euclidean-uniform,1.1811537320445388e-05,0.0007795614631493956,0.3012257478308895
scramble-euclidean-lognormal vs swap-euclidean-uniform,1.1477983038195972e-07,7.575468805209342e-06,0.3640943575154102
scramble-euclidean-lognormal vs scramble-euclidean-uniform,0.07688158923358576,1.0,0.13568446495275766
scramble-euclidean-lognormal vs scramble-asymmetric-lognormal,4.50336647224331e-13,2.972221871680585e-11,-0.5368441971383149
scramble-euclidean-lognormal vs scramble-asymmetric-uniform,2.406541527905501e-11,1.5883174084176306e-09,-0.5012162162162161
scramble-euclidean-lognormal vs inplace-asymmetric-uniform,0.002582371621484766,0.17043652701799455,-0.2051927268132956
scramble-euclidean-lognormal vs swap-asymmetric-uniform,0.04616022013562178,1.0,-0.13568332008972117
inplace-euclidean-uniform vs swap-euclidean-uniform,7.255232292802715e-08,4.788453313249792e-06,0.11149495360021677
inplace-euclidean-uniform vs scramble-euclidean-uniform,5.006651170159077e-06,0.0003304389772304991,-0.18118773145542932
inplace-euclidean-uniform vs scramble-asymmetric-lognormal,3.626838927704825e-136,2.3937136922851845e-134,-0.860636317809919
inplace-euclidean-uniform vs scramble-asymmetric-uniform,5.2353044809367995e-117,3.4553009574182877e-115,-0.8391056910569106
inplace-euclidean-uniform vs inplace-asymmetric-uniform,8.498901958004058e-255,5.609275292282678e-253,-0.637575083991609
inplace-euclidean-uniform vs swap-asymmetric-uniform,1.7449056422046564e-205,1.1516377238550732e-203,-0.5672219007065196
swap-euclidean-uniform vs scramble-euclidean-uniform,4.141038192315495e-11,2.733085206928227e-09,-0.2610336817653891
swap-euclidean-uniform vs scramble-asymmetric-lognormal,3.188453104722148e-144,2.1043790491166178e-142,-0.8820654577620521
swap-euclidean-uniform vs scramble-asymmetric-uniform,2.4635577266508857e-126,1.6259480995895846e-124,-0.8688805346700084
swap-euclidean-uniform vs inplace-asymmetric-uniform,0.0,0.0,-0.707009781953911
swap-euclidean-uniform vs swap-asymmetric-uniform,2.157030298566012e-271,1.4236399970535679e-269,-0.6422884061661411
scramble-euclidean-uniform vs scramble-asymmetric-lognormal,5.956095419487856e-45,3.9310229768619855e-43,-0.6804519368723099
scramble-euclidean-uniform vs scramble-asymmetric-uniform,8.36511098962782e-39,5.520973253154361e-37,-0.6476287262872629
scramble-euclidean-uniform vs inplace-asymmetric-uniform,1.5369744429691589e-25,1.0144031323596449e-23,-0.40257837911452743
scramble-euclidean-uniform vs swap-asymmetric-uniform,8.397554721852194e-18,5.542386116422448e-16,-0.3305723734572663
scramble-asymmetric-lognormal vs scramble-asymmetric-uniform,0.11489716375484574,1.0,0.07216666666666671
scramble-asymmetric-lognormal vs inplace-asymmetric-uniform,2.3384043267305303e-40,1.54334685564215e-38,0.4432124934118563
scramble-asymmetric-lognormal vs swap-asymmetric-uniform,6.343910466153105e-54,4.186980907661049e-52,0.5139101118675978
scramble-asymmetric-uniform vs inplace-asymmetric-uniform,3.3946519047380106e-29,2.240470257127087e-27,0.39518763796909495
scramble-asymmetric-uniform vs swap-asymmetric-uniform,1.5122722911693463e-40,9.980997121717685e-39,0.4686242401687135
inplace-asymmetric-uniform vs swap-asymmetric-uniform,3.429971178466824e-08,2.2637809777881038e-06,0.0879339543190032
