size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,"[5,10,15,20]",1000,,euclidean,uniform,scramble
20,"[25,30,35,40]",1000,,euclidean,uniform,scramble
20,"[45,50,55,60]",1000,,euclidean,uniform,scramble
20,"[65,70,75,80]",1000,,euclidean,uniform,scramble
20,"[85,90,95,100]",1000,,euclidean,uniform,scramble
20,"[5,10,15,20]",1000,,euclidean,uniform,wouter
20,"[25,30,35,40]",1000,,euclidean,uniform,wouter
20,"[45,50,55,60]",1000,,euclidean,uniform,wouter
20,"[65,70,75,80]",1000,,euclidean,uniform,wouter
20,"[85,90,95,100]",1000,,euclidean,uniform,wouter
20,"[5,10,15,20]",1000,,euclidean,uniform,swap
20,"[25,30,35,40]",1000,,euclidean,uniform,swap
20,"[45,50,55,60]",1000,,euclidean,uniform,swap
20,"[65,70,75,80]",1000,,euclidean,uniform,swap
20,"[85,90,95,100]",1000,,euclidean,uniform,swap
20,"[5,10,15,20]",1000,,asymmetric,uniform,scramble
20,"[25,30,35,40]",1000,,asymmetric,uniform,scramble
20,"[45,50,55,60]",1000,,asymmetric,uniform,scramble
20,"[65,70,75,80]",1000,,asymmetric,uniform,scramble
20,"[85,90,95,100]",1000,,asymmetric,uniform,scramble
20,"[5,10,15,20]",1000,,asymmetric,uniform,wouter
20,"[25,30,35,40]",1000,,asymmetric,uniform,wouter
20,"[45,50,55,60]",1000,,asymmetric,uniform,wouter
20,"[65,70,75,80]",1000,,asymmetric,uniform,wouter
20,"[85,90,95,100]",1000,,asymmetric,uniform,wouter
20,"[5,10,15,20]",1000,,asymmetric,uniform,swap
20,"[25,30,35,40]",1000,,asymmetric,uniform,swap
20,"[45,50,55,60]",1000,,asymmetric,uniform,swap
20,"[65,70,75,80]",1000,,asymmetric,uniform,swap
20,"[85,90,95,100]",1000,,asymmetric,uniform,swap
30,"[5,10,15,20]",1000,,euclidean,uniform,scramble
30,"[25,30,35,40]",1000,,euclidean,uniform,scramble
30,"[45,50,55,60]",1000,,euclidean,uniform,scramble
30,"[65,70,75,80]",1000,,euclidean,uniform,scramble
30,"[85,90,95,100]",1000,,euclidean,uniform,scramble
30,"[5,10,15,20]",1000,,euclidean,uniform,wouter
30,"[25,30,35,40]",1000,,euclidean,uniform,wouter
30,"[45,50,55,60]",1000,,euclidean,uniform,wouter
30,"[65,70,75,80]",1000,,euclidean,uniform,wouter
30,"[85,90,95,100]",1000,,euclidean,uniform,wouter
30,"[5,10,15,20]",1000,,euclidean,uniform,swap
30,"[25,30,35,40]",1000,,euclidean,uniform,swap
30,"[45,50,55,60]",1000,,euclidean,uniform,swap
30,"[65,70,75,80]",1000,,euclidean,uniform,swap
30,"[85,90,95,100]",1000,,euclidean,uniform,swap
30,"[5,10,15,20]",1000,,asymmetric,uniform,scramble
30,"[25,30,35,40]",1000,,asymmetric,uniform,scramble
30,"[45,50,55,60]",1000,,asymmetric,uniform,scramble
30,"[65,70,75,80]",1000,,asymmetric,uniform,scramble
30,"[85,90,95,100]",1000,,asymmetric,uniform,scramble
30,"[5,10]",1000,,asymmetric,uniform,wouter
30,"[15,20]",1000,,asymmetric,uniform,wouter
30,"[25,30]",1000,,asymmetric,uniform,wouter
30,"[35,40]",1000,,asymmetric,uniform,wouter
30,"[45,50]",1000,,asymmetric,uniform,wouter
30,"[55,60]",1000,,asymmetric,uniform,wouter
30,"[65,70]",1000,,asymmetric,uniform,wouter
30,"[75,80]",1000,,asymmetric,uniform,wouter
30,"[85,90,95,100]",1000,,asymmetric,uniform,wouter
30,"[5,10,15,20]",1000,,asymmetric,uniform,swap
30,"[25,30,35,40]",1000,,asymmetric,uniform,swap
30,"[45,50,55,60]",1000,,asymmetric,uniform,swap
30,"[65,70,75,80]",1000,,asymmetric,uniform,swap
30,"[85,90,95,100]",1000,,asymmetric,uniform,swap